Store_Name,Store_Country,Order_Year,Product_Category,Avg_Order_Value,Total_Orders
Store 1,Australia,2016,Computers,626.07,6
Store 1,Australia,2016,Games and Toys,84.0,1
Store 1,Australia,2016,Home Appliances,1800.32,3
Store 1,Australia,2016,"Music, Movies and Audio Books",1204.5,2
Store 1,Australia,2016,TV and Video,978.0,1
Store 2,Australia,2016,Audio,530.87,4
Store 2,Australia,2016,Cameras and camcorders,537.6,5
Store 2,Australia,2016,Cell phones,129.0,1
Store 2,Australia,2016,Computers,699.0,1
Store 2,Australia,2016,Games and Toys,37.85,2
Store 2,Australia,2016,Home Appliances,665.94,1
Store 2,Australia,2016,"Music, Movies and Audio Books",998.3,3
Store 2,Australia,2016,TV and Video,5799.98,1
Store 4,Australia,2021,Cameras and camcorders,200.0,1
Store 4,Australia,2021,Computers,1374.33,3
Store 4,Australia,2021,"Music, Movies and Audio Books",57.88,1
Store 4,Australia,2020,Audio,220.16,3
Store 4,Australia,2020,Cameras and camcorders,2286.0,6
Store 4,Australia,2020,Cell phones,464.43,14
Store 4,Australia,2020,Computers,1666.3,5
Store 4,Australia,2020,Games and Toys,70.62,11
Store 4,Australia,2020,Home Appliances,1287.5,1
Store 4,Australia,2020,"Music, Movies and Audio Books",179.65,3
Store 4,Australia,2020,TV and Video,781.95,4
Store 4,Australia,2019,Audio,339.55,20
Store 4,Australia,2019,Cameras and camcorders,1867.41,14
Store 4,Australia,2019,Cell phones,860.03,21
Store 4,Australia,2019,Computers,1784.49,34
Store 4,Australia,2019,Games and Toys,133.71,14
Store 4,Australia,2019,Home Appliances,1076.61,8
Store 4,Australia,2019,"Music, Movies and Audio Books",237.04,14
Store 4,Australia,2019,TV and Video,5077.1,11
Store 4,Australia,2018,Audio,474.41,14
Store 4,Australia,2018,Cameras and camcorders,690.62,7
Store 4,Australia,2018,Cell phones,757.43,24
Store 4,Australia,2018,Computers,946.08,37
Store 4,Australia,2018,Games and Toys,93.57,18
Store 4,Australia,2018,Home Appliances,1861.3,14
Store 4,Australia,2018,"Music, Movies and Audio Books",458.77,30
Store 4,Australia,2018,TV and Video,1644.27,6
Store 4,Australia,2017,Audio,528.16,8
Store 4,Australia,2017,Cameras and camcorders,1978.67,3
Store 4,Australia,2017,Cell phones,841.08,8
Store 4,Australia,2017,Computers,425.77,8
Store 4,Australia,2017,Games and Toys,75.63,2
Store 4,Australia,2017,Home Appliances,2696.3,8
Store 4,Australia,2017,"Music, Movies and Audio Books",294.23,9
Store 4,Australia,2017,TV and Video,4670.06,6
Store 4,Australia,2016,Audio,490.32,9
Store 4,Australia,2016,Cameras and camcorders,1498.6,5
Store 4,Australia,2016,Cell phones,591.5,2
Store 4,Australia,2016,Computers,545.4,6
Store 4,Australia,2016,Games and Toys,11.0,1
Store 4,Australia,2016,Home Appliances,1453.09,7
Store 4,Australia,2016,"Music, Movies and Audio Books",289.72,7
Store 4,Australia,2016,TV and Video,1136.21,4
Store 5,Australia,2021,Audio,375.2,4
Store 5,Australia,2021,Cameras and camcorders,2214.0,2
Store 5,Australia,2021,Cell phones,571.24,4
Store 5,Australia,2021,Computers,388.91,7
Store 5,Australia,2021,Games and Toys,19.92,1
Store 5,Australia,2021,Home Appliances,635.99,1
Store 5,Australia,2021,"Music, Movies and Audio Books",114.45,1
Store 5,Australia,2021,TV and Video,1257.0,2
Store 5,Australia,2020,Audio,291.21,15
Store 5,Australia,2020,Cameras and camcorders,750.58,14
Store 5,Australia,2020,Cell phones,583.2,23
Store 5,Australia,2020,Computers,1508.65,29
Store 5,Australia,2020,Games and Toys,39.3,14
Store 5,Australia,2020,Home Appliances,1483.13,10
Store 5,Australia,2020,"Music, Movies and Audio Books",535.19,16
Store 5,Australia,2020,TV and Video,1954.88,10
Store 5,Australia,2019,Audio,416.05,52
Store 5,Australia,2019,Cameras and camcorders,1345.4,31
Store 5,Australia,2019,Cell phones,628.97,48
Store 5,Australia,2019,Computers,1382.5,65
Store 5,Australia,2019,Games and Toys,119.87,48
Store 5,Australia,2019,Home Appliances,2650.68,21
Store 5,Australia,2019,"Music, Movies and Audio Books",329.5,49
Store 5,Australia,2019,TV and Video,1383.08,12
Store 5,Australia,2018,Audio,488.2,30
Store 5,Australia,2018,Cameras and camcorders,987.6,21
Store 5,Australia,2018,Cell phones,596.49,33
Store 5,Australia,2018,Computers,1581.29,48
Store 5,Australia,2018,Games and Toys,163.57,17
Store 5,Australia,2018,Home Appliances,2092.46,29
Store 5,Australia,2018,"Music, Movies and Audio Books",395.21,45
Store 5,Australia,2018,TV and Video,1924.64,12
Store 5,Australia,2017,Audio,450.03,14
Store 5,Australia,2017,Cameras and camcorders,373.72,6
Store 5,Australia,2017,Cell phones,768.44,9
Store 5,Australia,2017,Computers,1272.43,15
Store 5,Australia,2017,Games and Toys,148.12,8
Store 5,Australia,2017,Home Appliances,1942.11,19
Store 5,Australia,2017,"Music, Movies and Audio Books",433.2,15
Store 5,Australia,2017,TV and Video,1139.01,9
Store 5,Australia,2016,Audio,227.32,9
Store 5,Australia,2016,Cameras and camcorders,1472.17,13
Store 5,Australia,2016,Cell phones,1763.0,4
Store 5,Australia,2016,Computers,3467.16,12
Store 5,Australia,2016,Games and Toys,146.72,4
Store 5,Australia,2016,Home Appliances,1906.66,17
Store 5,Australia,2016,"Music, Movies and Audio Books",252.54,16
Store 5,Australia,2016,TV and Video,2599.08,8
Store 6,Australia,2021,Audio,283.85,1
Store 6,Australia,2021,Computers,109.0,1
Store 6,Australia,2021,"Music, Movies and Audio Books",519.98,1
Store 6,Australia,2021,TV and Video,693.0,1
Store 6,Australia,2020,Audio,464.31,10
Store 6,Australia,2020,Cameras and camcorders,2070.71,10
Store 6,Australia,2020,Cell phones,778.2,17
Store 6,Australia,2020,Computers,1339.94,25
Store 6,Australia,2020,Games and Toys,92.45,14
Store 6,Australia,2020,Home Appliances,1247.5,8
Store 6,Australia,2020,"Music, Movies and Audio Books",285.34,11
Store 6,Australia,2020,TV and Video,2465.6,10
Store 6,Australia,2019,Audio,289.08,31
Store 6,Australia,2019,Cameras and camcorders,1389.57,19
Store 6,Australia,2019,Cell phones,686.89,33
Store 6,Australia,2019,Computers,993.76,47
Store 6,Australia,2019,Games and Toys,87.12,33
Store 6,Australia,2019,Home Appliances,1732.98,15
Store 6,Australia,2019,"Music, Movies and Audio Books",266.39,33
Store 6,Australia,2019,TV and Video,690.84,6
Store 6,Australia,2018,Audio,847.54,10
Store 6,Australia,2018,Cameras and camcorders,1010.0,5
Store 6,Australia,2018,Cell phones,455.97,23
Store 6,Australia,2018,Computers,1140.51,39
Store 6,Australia,2018,Games and Toys,147.67,15
Store 6,Australia,2018,Home Appliances,1886.36,11
Store 6,Australia,2018,"Music, Movies and Audio Books",382.41,15
Store 6,Australia,2018,TV and Video,2999.49,2
Store 6,Australia,2017,Audio,445.92,9
Store 6,Australia,2017,Cameras and camcorders,591.22,10
Store 6,Australia,2017,Cell phones,727.95,9
Store 6,Australia,2017,Computers,2042.31,16
Store 6,Australia,2017,Games and Toys,53.38,7
Store 6,Australia,2017,Home Appliances,2365.24,11
Store 6,Australia,2017,"Music, Movies and Audio Books",564.75,9
Store 6,Australia,2017,TV and Video,1572.13,9
Store 6,Australia,2016,Audio,299.21,8
Store 6,Australia,2016,Cameras and camcorders,1002.12,12
Store 6,Australia,2016,Cell phones,927.44,9
Store 6,Australia,2016,Computers,1109.95,17
Store 6,Australia,2016,Games and Toys,121.48,8
Store 6,Australia,2016,Home Appliances,1467.01,20
Store 6,Australia,2016,"Music, Movies and Audio Books",177.17,6
Store 6,Australia,2016,TV and Video,945.1,9
Store 10,Canada,2021,Audio,473.95,3
Store 10,Canada,2021,Cameras and camcorders,860.0,2
Store 10,Canada,2021,Cell phones,268.5,2
Store 10,Canada,2021,Computers,690.5,5
Store 10,Canada,2021,Games and Toys,86.0,1
Store 10,Canada,2021,Home Appliances,1199.96,1
Store 10,Canada,2021,"Music, Movies and Audio Books",504.63,3
Store 10,Canada,2020,Audio,371.0,26
Store 10,Canada,2020,Cameras and camcorders,1093.7,22
Store 10,Canada,2020,Cell phones,624.56,46
Store 10,Canada,2020,Computers,1345.48,62
Store 10,Canada,2020,Games and Toys,87.96,36
Store 10,Canada,2020,Home Appliances,1518.44,17
Store 10,Canada,2020,"Music, Movies and Audio Books",357.99,46
Store 10,Canada,2020,TV and Video,820.77,6
Store 10,Canada,2019,Audio,398.18,58
Store 10,Canada,2019,Cameras and camcorders,1343.45,34
Store 10,Canada,2019,Cell phones,575.08,56
Store 10,Canada,2019,Computers,1485.47,93
Store 10,Canada,2019,Games and Toys,85.07,72
Store 10,Canada,2019,Home Appliances,1962.5,30
Store 10,Canada,2019,"Music, Movies and Audio Books",352.44,63
Store 10,Canada,2019,TV and Video,1181.9,21
Store 10,Canada,2018,Audio,387.16,40
Store 10,Canada,2018,Cameras and camcorders,1521.1,23
Store 10,Canada,2018,Cell phones,448.11,39
Store 10,Canada,2018,Computers,1323.74,62
Store 10,Canada,2018,Games and Toys,76.18,19
Store 10,Canada,2018,Home Appliances,1416.42,30
Store 10,Canada,2018,"Music, Movies and Audio Books",351.84,42
Store 10,Canada,2018,TV and Video,2351.95,14
Store 10,Canada,2017,Audio,306.07,27
Store 10,Canada,2017,Cameras and camcorders,1123.68,5
Store 10,Canada,2017,Cell phones,681.17,19
Store 10,Canada,2017,Computers,896.3,27
Store 10,Canada,2017,Games and Toys,88.13,14
Store 10,Canada,2017,Home Appliances,2186.55,27
Store 10,Canada,2017,"Music, Movies and Audio Books",299.55,28
Store 10,Canada,2017,TV and Video,1458.99,5
Store 10,Canada,2016,Audio,400.99,14
Store 10,Canada,2016,Cameras and camcorders,950.56,19
Store 10,Canada,2016,Cell phones,451.48,16
Store 10,Canada,2016,Computers,1011.37,22
Store 10,Canada,2016,Games and Toys,105.04,14
Store 10,Canada,2016,Home Appliances,1576.79,26
Store 10,Canada,2016,"Music, Movies and Audio Books",375.65,21
Store 10,Canada,2016,TV and Video,1248.23,11
Store 8,Canada,2021,Audio,121.43,4
Store 8,Canada,2021,Cameras and camcorders,1352.0,2
Store 8,Canada,2021,Cell phones,791.75,8
Store 8,Canada,2021,Computers,1594.86,8
Store 8,Canada,2021,Games and Toys,226.67,6
Store 8,Canada,2021,Home Appliances,2181.99,2
Store 8,Canada,2021,"Music, Movies and Audio Books",125.65,3
Store 8,Canada,2021,TV and Video,183.95,2
Store 8,Canada,2020,Audio,399.58,16
Store 8,Canada,2020,Cameras and camcorders,1112.36,18
Store 8,Canada,2020,Cell phones,640.89,33
Store 8,Canada,2020,Computers,1345.21,52
Store 8,Canada,2020,Games and Toys,113.15,31
Store 8,Canada,2020,Home Appliances,2675.25,4
Store 8,Canada,2020,"Music, Movies and Audio Books",341.75,24
Store 8,Canada,2020,TV and Video,2085.61,10
Store 8,Canada,2019,Audio,437.3,45
Store 8,Canada,2019,Cameras and camcorders,970.72,40
Store 8,Canada,2019,Cell phones,613.35,65
Store 8,Canada,2019,Computers,1154.08,99
Store 8,Canada,2019,Games and Toys,48.27,55
Store 8,Canada,2019,Home Appliances,2004.95,34
Store 8,Canada,2019,"Music, Movies and Audio Books",381.12,51
Store 8,Canada,2019,TV and Video,1651.23,25
Store 8,Canada,2018,Audio,505.24,52
Store 8,Canada,2018,Cameras and camcorders,1082.42,27
Store 8,Canada,2018,Cell phones,592.24,51
Store 8,Canada,2018,Computers,1175.81,91
Store 8,Canada,2018,Games and Toys,55.53,40
Store 8,Canada,2018,Home Appliances,2654.76,32
Store 8,Canada,2018,"Music, Movies and Audio Books",262.58,46
Store 8,Canada,2018,TV and Video,2124.09,15
Store 8,Canada,2017,Audio,488.38,25
Store 8,Canada,2017,Cameras and camcorders,1719.06,17
Store 8,Canada,2017,Cell phones,657.03,23
Store 8,Canada,2017,Computers,1340.62,41
Store 8,Canada,2017,Games and Toys,133.69,16
Store 8,Canada,2017,Home Appliances,2289.67,26
Store 8,Canada,2017,"Music, Movies and Audio Books",418.84,36
Store 8,Canada,2017,TV and Video,646.44,11
Store 8,Canada,2016,Audio,557.47,22
Store 8,Canada,2016,Cameras and camcorders,937.2,21
Store 8,Canada,2016,Cell phones,661.08,23
Store 8,Canada,2016,Computers,872.25,14
Store 8,Canada,2016,Games and Toys,105.4,11
Store 8,Canada,2016,Home Appliances,2376.11,36
Store 8,Canada,2016,"Music, Movies and Audio Books",289.14,26
Store 8,Canada,2016,TV and Video,1226.6,21
Store 9,Canada,2021,Audio,562.73,4
Store 9,Canada,2021,Cameras and camcorders,1210.59,5
Store 9,Canada,2021,Cell phones,706.74,8
Store 9,Canada,2021,Computers,1081.8,9
Store 9,Canada,2021,Games and Toys,51.77,6
Store 9,Canada,2021,Home Appliances,611.67,2
Store 9,Canada,2021,"Music, Movies and Audio Books",567.48,4
Store 9,Canada,2021,TV and Video,2369.94,1
Store 9,Canada,2020,Audio,425.94,15
Store 9,Canada,2020,Cameras and camcorders,646.31,21
Store 9,Canada,2020,Cell phones,490.79,41
Store 9,Canada,2020,Computers,1365.24,73
Store 9,Canada,2020,Games and Toys,126.23,35
Store 9,Canada,2020,Home Appliances,1487.75,17
Store 9,Canada,2020,"Music, Movies and Audio Books",290.52,33
Store 9,Canada,2020,TV and Video,1199.94,13
Store 9,Canada,2019,Audio,441.52,70
Store 9,Canada,2019,Cameras and camcorders,1334.9,47
Store 9,Canada,2019,Cell phones,578.31,101
Store 9,Canada,2019,Computers,1249.44,130
Store 9,Canada,2019,Games and Toys,91.66,82
Store 9,Canada,2019,Home Appliances,1236.32,29
Store 9,Canada,2019,"Music, Movies and Audio Books",368.48,72
Store 9,Canada,2019,TV and Video,2141.07,23
Store 9,Canada,2018,Audio,408.29,36
Store 9,Canada,2018,Cameras and camcorders,641.82,28
Store 9,Canada,2018,Cell phones,511.33,45
Store 9,Canada,2018,Computers,1703.18,78
Store 9,Canada,2018,Games and Toys,65.98,41
Store 9,Canada,2018,Home Appliances,1692.26,40
Store 9,Canada,2018,"Music, Movies and Audio Books",311.44,37
Store 9,Canada,2018,TV and Video,1264.22,9
Store 9,Canada,2017,Audio,465.55,26
Store 9,Canada,2017,Cameras and camcorders,1049.68,15
Store 9,Canada,2017,Cell phones,538.49,38
Store 9,Canada,2017,Computers,1127.61,46
Store 9,Canada,2017,Games and Toys,116.53,20
Store 9,Canada,2017,Home Appliances,1631.72,35
Store 9,Canada,2017,"Music, Movies and Audio Books",286.41,34
Store 9,Canada,2017,TV and Video,905.35,16
Store 9,Canada,2016,Audio,470.29,25
Store 9,Canada,2016,Cameras and camcorders,1274.22,26
Store 9,Canada,2016,Cell phones,452.85,11
Store 9,Canada,2016,Computers,1196.22,25
Store 9,Canada,2016,Games and Toys,69.29,17
Store 9,Canada,2016,Home Appliances,1816.31,32
Store 9,Canada,2016,"Music, Movies and Audio Books",432.53,34
Store 9,Canada,2016,TV and Video,2661.89,22
Store 12,France,2021,Audio,230.77,2
Store 12,France,2021,Cell phones,557.5,2
Store 12,France,2021,"Music, Movies and Audio Books",876.0,1
Store 12,France,2021,TV and Video,1276.0,1
Store 12,France,2020,Audio,193.03,6
Store 12,France,2020,Cameras and camcorders,1238.78,8
Store 12,France,2020,Cell phones,396.95,8
Store 12,France,2020,Computers,2295.56,11
Store 12,France,2020,Games and Toys,73.37,8
Store 12,France,2020,Home Appliances,1427.75,4
Store 12,France,2020,"Music, Movies and Audio Books",355.65,10
Store 12,France,2020,TV and Video,4776.6,1
Store 12,France,2019,Audio,546.13,12
Store 12,France,2019,Cameras and camcorders,563.88,9
Store 12,France,2019,Cell phones,305.3,7
Store 12,France,2019,Computers,1910.78,17
Store 12,France,2019,Games and Toys,147.69,7
Store 12,France,2019,Home Appliances,653.03,3
Store 12,France,2019,"Music, Movies and Audio Books",443.09,7
Store 12,France,2019,TV and Video,849.95,1
Store 12,France,2018,Audio,410.41,10
Store 12,France,2018,Cameras and camcorders,1234.67,3
Store 12,France,2018,Cell phones,454.11,9
Store 12,France,2018,Computers,1328.67,12
Store 12,France,2018,Games and Toys,17.38,2
Store 12,France,2018,Home Appliances,2556.25,4
Store 12,France,2018,"Music, Movies and Audio Books",246.66,5
Store 12,France,2018,TV and Video,1592.2,1
Store 12,France,2017,Audio,375.56,4
Store 12,France,2017,Cameras and camcorders,1308.3,1
Store 12,France,2017,Cell phones,648.32,3
Store 12,France,2017,Computers,837.12,5
Store 12,France,2017,Home Appliances,666.23,7
Store 12,France,2017,"Music, Movies and Audio Books",412.05,6
Store 12,France,2017,TV and Video,597.0,1
Store 12,France,2016,Audio,195.8,4
Store 12,France,2016,Cameras and camcorders,1113.36,5
Store 12,France,2016,Cell phones,672.5,2
Store 12,France,2016,Computers,703.7,3
Store 12,France,2016,Games and Toys,180.67,5
Store 12,France,2016,Home Appliances,846.63,3
Store 12,France,2016,"Music, Movies and Audio Books",298.8,4
Store 13,France,2021,Cameras and camcorders,1176.0,1
Store 13,France,2021,Cell phones,2645.0,1
Store 13,France,2021,Games and Toys,55.11,7
Store 13,France,2020,Audio,576.3,3
Store 13,France,2020,Cameras and camcorders,670.73,3
Store 13,France,2020,Cell phones,2205.0,2
Store 13,France,2020,Computers,1571.06,8
Store 13,France,2020,Games and Toys,86.1,5
Store 13,France,2020,Home Appliances,515.0,1
Store 13,France,2020,"Music, Movies and Audio Books",260.56,7
Store 13,France,2020,TV and Video,14499.95,1
Store 13,France,2019,Audio,382.7,4
Store 13,France,2019,Cameras and camcorders,1468.4,5
Store 13,France,2019,Cell phones,514.77,12
Store 13,France,2019,Computers,1832.62,10
Store 13,France,2019,Games and Toys,266.72,9
Store 13,France,2019,Home Appliances,252.47,2
Store 13,France,2019,"Music, Movies and Audio Books",369.21,9
Store 13,France,2019,TV and Video,1331.21,5
Store 13,France,2018,Audio,726.48,7
Store 13,France,2018,Cell phones,59.68,3
Store 13,France,2018,Computers,426.66,7
Store 13,France,2018,Games and Toys,77.33,3
Store 13,France,2018,Home Appliances,845.99,5
Store 13,France,2018,"Music, Movies and Audio Books",488.98,3
Store 13,France,2018,TV and Video,1274.99,3
Store 13,France,2017,Audio,308.87,3
Store 13,France,2017,Cameras and camcorders,1066.0,2
Store 13,France,2017,Cell phones,588.5,6
Store 13,France,2017,Computers,1064.07,10
Store 13,France,2017,Games and Toys,320.0,1
Store 13,France,2017,Home Appliances,1544.79,6
Store 13,France,2017,"Music, Movies and Audio Books",329.14,6
Store 13,France,2017,TV and Video,319.0,1
Store 13,France,2016,Audio,1005.55,3
Store 13,France,2016,Cameras and camcorders,626.5,5
Store 13,France,2016,Cell phones,296.71,3
Store 13,France,2016,Computers,1380.67,3
Store 13,France,2016,Games and Toys,8.88,1
Store 13,France,2016,Home Appliances,752.49,2
Store 13,France,2016,"Music, Movies and Audio Books",252.39,3
Store 13,France,2016,TV and Video,633.0,3
Store 14,France,2021,Cameras and camcorders,198.0,1
Store 14,France,2021,Games and Toys,101.08,1
Store 14,France,2021,"Music, Movies and Audio Books",17.99,1
Store 14,France,2020,Audio,199.95,1
Store 14,France,2020,Cameras and camcorders,486.5,4
Store 14,France,2020,Cell phones,161.61,3
Store 14,France,2020,Computers,2068.2,2
Store 14,France,2020,Games and Toys,52.26,6
Store 14,France,2020,Home Appliances,877.5,1
Store 14,France,2020,"Music, Movies and Audio Books",438.0,1
Store 14,France,2020,TV and Video,2839.74,4
Store 14,France,2019,Audio,461.16,4
Store 14,France,2019,Cameras and camcorders,943.03,6
Store 14,France,2019,Cell phones,444.05,7
Store 14,France,2019,Computers,2086.99,4
Store 14,France,2019,Games and Toys,194.66,3
Store 14,France,2019,Home Appliances,2037.87,2
Store 14,France,2019,"Music, Movies and Audio Books",110.7,5
Store 14,France,2019,TV and Video,761.04,2
Store 14,France,2018,Audio,270.2,4
Store 14,France,2018,Cell phones,451.36,4
Store 14,France,2018,Computers,868.25,4
Store 14,France,2018,Games and Toys,145.41,4
Store 14,France,2018,Home Appliances,703.16,5
Store 14,France,2018,"Music, Movies and Audio Books",712.4,6
Store 14,France,2017,Audio,318.9,2
Store 14,France,2017,Cameras and camcorders,422.0,1
Store 14,France,2017,Cell phones,173.41,4
Store 14,France,2017,Computers,3889.85,3
Store 14,France,2017,Games and Toys,162.26,5
Store 14,France,2017,Home Appliances,1890.83,3
Store 14,France,2016,Audio,303.65,3
Store 14,France,2016,Cameras and camcorders,936.0,1
Store 14,France,2016,Cell phones,291.02,4
Store 14,France,2016,Computers,3025.12,5
Store 14,France,2016,Games and Toys,54.33,3
Store 14,France,2016,Home Appliances,1411.24,2
Store 14,France,2016,"Music, Movies and Audio Books",363.44,3
Store 14,France,2016,TV and Video,1548.5,2
Store 15,France,2021,Audio,592.0,1
Store 15,France,2021,Cameras and camcorders,3552.0,1
Store 15,France,2021,Cell phones,1416.5,2
Store 15,France,2021,Computers,584.0,3
Store 15,France,2021,Games and Toys,50.67,1
Store 15,France,2021,"Music, Movies and Audio Books",319.98,1
Store 15,France,2020,Audio,598.46,1
Store 15,France,2020,Cameras and camcorders,269.0,2
Store 15,France,2020,Cell phones,432.23,8
Store 15,France,2020,Computers,1865.32,16
Store 15,France,2020,Games and Toys,205.59,5
Store 15,France,2020,Home Appliances,356.49,2
Store 15,France,2020,"Music, Movies and Audio Books",196.58,6
Store 15,France,2020,TV and Video,1536.83,3
Store 15,France,2019,Audio,334.99,4
Store 15,France,2019,Cameras and camcorders,1210.88,9
Store 15,France,2019,Cell phones,958.86,12
Store 15,France,2019,Computers,1424.32,24
Store 15,France,2019,Games and Toys,45.59,10
Store 15,France,2019,Home Appliances,3004.88,4
Store 15,France,2019,"Music, Movies and Audio Books",270.95,9
Store 15,France,2019,TV and Video,563.09,4
Store 15,France,2018,Audio,208.17,5
Store 15,France,2018,Cameras and camcorders,707.0,2
Store 15,France,2018,Cell phones,184.27,5
Store 15,France,2018,Computers,1002.69,18
Store 15,France,2018,Games and Toys,91.0,2
Store 15,France,2018,Home Appliances,1249.72,4
Store 15,France,2018,"Music, Movies and Audio Books",184.2,6
Store 15,France,2018,TV and Video,1294.92,2
Store 15,France,2017,Audio,643.09,3
Store 15,France,2017,Cameras and camcorders,351.33,3
Store 15,France,2017,Cell phones,605.53,12
Store 15,France,2017,Computers,743.8,5
Store 15,France,2017,Games and Toys,40.14,5
Store 15,France,2017,Home Appliances,928.25,2
Store 15,France,2017,"Music, Movies and Audio Books",158.41,7
Store 15,France,2017,TV and Video,2996.63,5
Store 15,France,2016,Audio,115.0,1
Store 15,France,2016,Cameras and camcorders,1376.67,3
Store 15,France,2016,Cell phones,313.59,4
Store 15,France,2016,Computers,499.9,1
Store 15,France,2016,Games and Toys,53.15,3
Store 15,France,2016,Home Appliances,1158.99,3
Store 15,France,2016,"Music, Movies and Audio Books",593.28,2
Store 15,France,2016,TV and Video,1428.69,4
Store 16,France,2020,Audio,256.99,2
Store 16,France,2020,Cameras and camcorders,953.44,9
Store 16,France,2020,Cell phones,618.35,11
Store 16,France,2020,Computers,1006.87,10
Store 16,France,2020,Games and Toys,70.61,6
Store 16,France,2020,Home Appliances,4589.85,4
Store 16,France,2020,"Music, Movies and Audio Books",409.85,14
Store 16,France,2020,TV and Video,1028.73,4
Store 16,France,2019,Audio,502.52,3
Store 16,France,2019,Cameras and camcorders,917.66,4
Store 16,France,2019,Cell phones,522.56,16
Store 16,France,2019,Computers,1402.53,19
Store 16,France,2019,Games and Toys,104.86,13
Store 16,France,2019,Home Appliances,2317.05,7
Store 16,France,2019,"Music, Movies and Audio Books",385.89,8
Store 16,France,2019,TV and Video,1800.0,1
Store 16,France,2018,Audio,1047.18,5
Store 16,France,2018,Cameras and camcorders,1329.4,5
Store 16,France,2018,Cell phones,447.62,5
Store 16,France,2018,Computers,811.58,4
Store 16,France,2018,Games and Toys,56.22,4
Store 16,France,2018,Home Appliances,4021.11,4
Store 16,France,2018,"Music, Movies and Audio Books",479.46,5
Store 16,France,2017,Audio,237.9,5
Store 16,France,2017,Cameras and camcorders,601.75,4
Store 16,France,2017,Computers,795.2,4
Store 16,France,2017,Games and Toys,47.46,2
Store 16,France,2017,Home Appliances,1206.0,4
Store 16,France,2017,"Music, Movies and Audio Books",337.87,3
Store 16,France,2017,TV and Video,258.0,1
Store 16,France,2016,Audio,243.97,3
Store 16,France,2016,Cameras and camcorders,1475.94,8
Store 16,France,2016,Cell phones,277.99,2
Store 16,France,2016,Computers,4193.0,1
Store 16,France,2016,Home Appliances,2277.76,5
Store 16,France,2016,"Music, Movies and Audio Books",471.82,8
Store 16,France,2016,TV and Video,258.0,1
Store 17,France,2021,Cameras and camcorders,1668.0,1
Store 17,France,2021,Cell phones,768.0,1
Store 17,France,2021,Computers,1517.0,2
Store 17,France,2021,Games and Toys,32.0,1
Store 17,France,2021,"Music, Movies and Audio Books",40.39,2
Store 17,France,2020,Audio,250.56,3
Store 17,France,2020,Cameras and camcorders,5563.33,3
Store 17,France,2020,Cell phones,652.81,11
Store 17,France,2020,Computers,921.74,8
Store 17,France,2020,Games and Toys,145.99,2
Store 17,France,2020,Home Appliances,877.5,1
Store 17,France,2020,"Music, Movies and Audio Books",32.77,2
Store 17,France,2020,TV and Video,336.32,3
Store 17,France,2019,Audio,465.47,8
Store 17,France,2019,Cameras and camcorders,347.65,9
Store 17,France,2019,Cell phones,553.07,14
Store 17,France,2019,Computers,858.06,13
Store 17,France,2019,Games and Toys,101.86,14
Store 17,France,2019,Home Appliances,1076.68,5
Store 17,France,2019,"Music, Movies and Audio Books",376.65,15
Store 17,France,2019,TV and Video,301.17,3
Store 17,France,2018,Audio,167.58,5
Store 17,France,2018,Cameras and camcorders,681.75,4
Store 17,France,2018,Cell phones,217.65,6
Store 17,France,2018,Computers,1298.16,7
